,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
39358,39368,33988643,"Cozy, Friendly Apt Share for Young Professionals",253836845,Ollie,Brooklyn,Crown Heights,40.66981,-73.95734,Private room,69,30,3,2019-11-18,0.42,7,184
44540,44550,37812159,A Delightful Room,286191958,Syed,Queens,Sunnyside,40.74048,-73.9264,Private room,69,1,11,2019-11-03,3.03,3,364
25160,25170,21458865,Bright bedroom. Easy access to Manhattan,62888101,Yoshi,Brooklyn,Red Hook,40.67634,-74.00293,Private room,69,2,40,2019-10-09,1.7,1,88
12864,12864,10281054,Spacious Private Room in Brooklyn,2238052,Chris,Brooklyn,Bushwick,40.69288,-73.90831,Private room,69,2,56,2019-10-04,1.17,1,0
14115,14115,11982174,Large Private Room in Midtown East,46889591,Hatsumi,Manhattan,Upper East Side,40.76272,-73.96269000000002,Private room,69,1,4,2016-05-15,0.09,1,0
22209,22210,19296358,"Private room in midtown Manhattan曼哈顿中心 位于地狱厨房,位置棒棒",135131537,Laura,Manhattan,Hell's Kitchen,40.75743,-73.99638,Private room,69,3,92,2019-11-02,3.45,2,41
10420,10420,8595036,Cozy room in the heart of Astoria,45232769,Nadir,Queens,Astoria,40.76685,-73.91762,Private room,69,2,80,2019-12-02,1.59,3,68
2793,2793,1782667,Bushwick Artist Loft - Cozy Room,3886532,Tom & Lily,Brooklyn,Bushwick,40.70818,-73.92201999999997,Private room,69,1,155,2019-11-16,2.15,3,295
22318,22319,19376753,"Lovely Room for A Real, Cozy Brooklyn Experience",7756888,Joe,Brooklyn,Flatbush,40.63609,-73.96687,Private room,69,2,1,2017-08-13,0.04,1,0
5466,5466,4271877,New Private Bathroom Master Bedroom,21091779,Caroline,Brooklyn,Bedford-Stuyvesant,40.6869,-73.92254,Private room,69,1,130,2019-10-28,2.59,3,80
28745,28755,24140119,"Cozy space with privacy near JFK, CASINO & NYC",181885526,Ling,Queens,South Ozone Park,40.67344,-73.82096,Private room,69,1,117,2019-11-10,5.76,1,79
47191,47201,39250832,Chic Upper West Side Room A,80931091,,Manhattan,Harlem,40.80329,-73.95569,Private room,69,5,1,2019-10-27,0.77,1,0
12841,12841,10262473,Awesome Dyker Heights apartment!,11904916,Helen,Brooklyn,Dyker Heights,40.62296,-74.01483,Entire home/apt,69,3,37,2019-07-16,0.82,1,95
25468,25478,21644752,Room with private bath/balcony/4min walk Subway.,14252436,Tanya,Brooklyn,Bedford-Stuyvesant,40.69167,-73.93115,Private room,69,3,16,2019-11-08,0.63,1,41
11283,11283,9351006,Cozy & Comfortable Private Room | Private Bathroom,47784768,Yemi,Brooklyn,Brownsville,40.66447,-73.91743000000002,Private room,69,2,86,2019-11-23,1.78,3,289
12836,12836,10252921,"Central Located Private Apartment, New York Queens",52705961,Harish,Queens,Forest Hills,40.73352,-73.85237,Entire home/apt,69,1,103,2019-11-19,2.29,1,276
31039,31049,26749031,Bright Bedroom Steps to train Minutes to Manhattan,200621725,Sue,Brooklyn,Williamsburg,40.7132,-73.94164,Private room,69,3,97,2019-11-21,5.65,2,0
27231,27241,22575619,"Cozy, Humble and private",80824522,Nat,Brooklyn,Bushwick,40.7025,-73.93253,Private room,69,2,24,2019-11-17,1.2,2,242
27227,27237,22571045,Private Studio,116746802,Christine,Queens,Bayside,40.75145,-73.75643000000002,Private room,69,5,15,2019-11-02,0.72,3,173
43307,43317,36939782,Relax private room & bathroom in a cozy apartment,103020905,Pedro,Brooklyn,Bushwick,40.68359,-73.90805,Private room,69,2,22,2019-11-30,5.0,1,68
5405,5405,4226098,W. 80's Central Park 3 Blocks Walk,21930989,Mark,Manhattan,Upper West Side,40.78883,-73.97616,Private room,69,1,345,2019-11-22,5.56,2,0
8124,8124,6673638,A clean private room in Brooklyn,19600872,,Brooklyn,Gravesend,40.6046,-73.97771999999998,Private room,69,1,0,,,1,0
45740,45750,38523255,B-Comfortable privet room in quiet neighborhood s2,288457888,Leonardo,Brooklyn,Bedford-Stuyvesant,40.67926,-73.91411,Private room,69,2,12,2019-11-29,4.86,4,59
33289,33299,28941710,Tiny Home,149292557,Kimberly,Queens,Jackson Heights,40.75137,-73.86081,Entire home/apt,69,2,70,2019-11-18,4.91,2,68
22224,22225,19309279,Cute Room in Renovated  LES Apt. Gay friendly,1103131,Andrew,Manhattan,Lower East Side,40.71453,-73.98679,Private room,69,3,76,2019-10-06,2.57,2,62
1604,1604,775238,Fantastic East Village Location!,3659439,Michelle,Manhattan,East Village,40.72578,-73.98448,Private room,69,4,12,2019-06-23,0.15,1,48
20952,20952,18225813,Pendulum Palace,44785461,William,Brooklyn,Williamsburg,40.70655,-73.95405,Private room,69,15,0,,,1,0
42758,42768,36485171,Beautiful Room in the Heart of Astoria,143040555,Jallal,Queens,Astoria,40.76913,-73.91006999999998,Private room,69,3,0,,,1,331
29939,29949,25464685,Clean Over Night Bed By Times Square Manhattan,187975743,R.Henry,Manhattan,Hell's Kitchen,40.76464,-73.99006,Shared room,69,1,73,2019-12-01,3.95,10,361
30466,30476,26108084,Sunny Flat in NYC,11121151,Christina,Manhattan,Upper West Side,40.7958,-73.97163,Private room,69,2,0,,,1,0
46511,46521,38933636,Cozy Enclave Room,224314967,Yesi - Verónica,Brooklyn,Bushwick,40.70034,-73.92712,Private room,69,5,0,,,2,364
24225,24232,20819116,My Little Cottage,149292557,Kimberly,Queens,Corona,40.75015,-73.85961,Entire home/apt,69,2,203,2019-11-24,7.47,2,145
33545,33555,29176897,Semi-private bedroom. Close 2 Times Square,219848970,Javier,Manhattan,Hell's Kitchen,40.76219,-73.99493000000002,Shared room,69,1,50,2019-12-03,3.61,2,334
7886,7886,6478141,Cheap & Basic Temporary Airbed Room,15743237,Champson,Queens,Elmhurst,40.734,-73.86596,Private room,69,1,14,2015-10-27,0.26,2,0
15438,15438,13208233,Spacious 1st floor apartment in fantastic location,6357668,Ragi,Queens,Astoria,40.76279,-73.91767,Entire home/apt,69,4,0,,,1,0
25640,25650,21737535,Newly Renovated LES Apartment with Private Balcony,11028650,Nathaniel,Manhattan,Lower East Side,40.71935,-73.98442,Private room,69,5,0,,,1,0
34469,34479,29940771,COMFORTABLE BEDROOM FOR LONG TERM,3229770,Luis,Queens,Sunnyside,40.73695,-73.92376,Private room,69,5,8,2019-11-09,0.64,4,305
13124,13124,10625484,"Midcentury Feel, Hipster Pad (Hipsters Only)",4274594,Matt,Brooklyn,Bedford-Stuyvesant,40.6859,-73.9576,Entire home/apt,69,90,43,2018-06-27,1.02,1,0
29887,29897,25383265,Cozy plant filled room nearby multiple subways,2147561,Shriver,Brooklyn,Williamsburg,40.70578,-73.94324,Private room,69,2,53,2019-11-21,3.01,1,68
26096,26106,21960659,Beautiful Huge Newly-Renovated Apt Great location.,21508828,Nguyen,Bronx,Kingsbridge,40.8739,-73.90364,Private room,69,1,34,2019-10-12,1.46,1,359
39738,39748,34303799,Magical space in prime Williamsburg,116674915,Virginia,Brooklyn,Williamsburg,40.71417,-73.95867,Private room,69,4,4,2019-08-14,0.63,2,0
16050,16050,13573101,Sunny room in heart of Chinatown,41217631,Paul,Manhattan,Chinatown,40.7153,-73.99938,Private room,69,1,1,2016-10-09,0.03,2,0
3843,3843,2663243,Private Room + Balcony in Bushwick.,5352610,Mira,Brooklyn,Williamsburg,40.70585,-73.92698,Private room,69,5,6,2019-05-07,0.09,2,0
5556,5556,4349695,Rustic Chic Private Living Room,22578720,Danielle,Brooklyn,Flatbush,40.64507,-73.95933000000002,Private room,69,1,33,2017-10-30,0.55,1,0
49639,49655,40230412,Private Room in Spacious North Harlem Apartment,13320530,Roman,Manhattan,Harlem,40.82964000000001,-73.9458,Private room,69,2,1,2019-11-27,1.0,1,247
19447,19447,16507116,"THE REAL NYC EXPERIENCE! 20 MINS TO NY, QUEEN BED",51025844,Kdn,Manhattan,Inwood,40.86768,-73.92685,Private room,69,2,51,2019-11-19,1.43,3,175
20169,20169,17366174,"Modern & Luxurious 1 Bedroom, close to A/J Trains!",40426686,Amin,Queens,Ozone Park,40.68572,-73.8493,Entire home/apt,69,4,0,,,1,0
7971,7971,6559615,Brooklyn Zen Gem Spacious Bedroom,31675601,Sophie,Brooklyn,Bay Ridge,40.62487,-74.02949,Private room,69,30,55,2019-08-09,1.07,4,354
14088,14088,11944718,Central Park North- 1 bed Apt to share (female),13509844,Ara,Manhattan,East Harlem,40.79665,-73.94928,Private room,69,7,7,2016-08-14,0.16,1,0
27190,27200,22532303,Williamsburg Classic Loft,2272846,Zack,Brooklyn,Williamsburg,40.71409,-73.95432,Private room,69,4,2,2019-11-01,0.09,3,341
30981,30991,26685314,Bedroom minutes to Manhattan - steps to train,200621725,Sue,Brooklyn,Williamsburg,40.71215,-73.94082,Private room,69,2,89,2019-11-17,5.19,2,64
1797,1797,846799,Strawberry B&B - An artist's dream loft,4421935,Maddy,Brooklyn,Bushwick,40.7077,-73.92211999999998,Private room,69,6,52,2019-07-05,0.64,1,151
20158,20158,17342599,"Stylish, Spacious room Express train to Midtown",5334697,Shane,Manhattan,Washington Heights,40.84114,-73.93639,Private room,69,5,35,2019-07-19,1.06,3,204
41679,41689,35682178,Beautiful King Bed w/private bath in NYC/Bushwick,268135013,Noel,Brooklyn,Bushwick,40.6944,-73.92531,Private room,69,1,12,2019-10-04,2.26,4,74
44158,44168,37554455,Large room in 3 bedroom apt 30 mins from Manhattan,278972704,Rachel,Staten Island,Clifton,40.61789,-74.08247,Private room,69,1,3,2019-10-31,1.7,2,365
1618,1618,783341,Private Bedroom LOWER EAST SIDE,4111640,Jennifer,Manhattan,Lower East Side,40.71502,-73.98192,Private room,69,7,49,2019-10-25,0.58,1,147
295,295,75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,308875,Scott,Brooklyn,Williamsburg,40.71398,-73.95763000000002,Private room,69,2,244,2019-11-26,2.29,2,0
10170,10170,8362098,Lovely 1.5 bed in South Park Slope,2128335,Julian,Brooklyn,Sunset Park,40.66198,-73.99785,Entire home/apt,69,5,9,2016-12-30,0.18,1,0
19525,19525,16569554,Bright room Williamsburg off Bedford,1535167,Danielle,Brooklyn,Williamsburg,40.71681,-73.96296,Private room,69,2,10,2019-01-01,0.29,1,0
32575,32585,28207627,Morning Glory,72318418,Francisca,Brooklyn,Crown Heights,40.66957,-73.92179,Private room,69,2,27,2019-11-30,1.78,3,360
50,50,15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,311,2019-11-17,2.57,2,1
21562,21563,18792285,Clean and Comfortable Room near Columbia,55377720,Dan,Manhattan,Morningside Heights,40.81233,-73.95716999999998,Private room,69,3,0,,,1,0
38067,38077,32822073,Cozy apartment w/ Magnificent View!,246422621,Jimmy,Manhattan,Battery Park City,40.70966,-74.01644,Private room,69,3,5,2019-08-21,0.61,1,0
43508,43518,37089001,Nice room in large apt 30 mins from Manhattan,278972704,Rachel,Staten Island,Clifton,40.61756,-74.08223000000002,Private room,69,1,10,2019-10-27,2.26,2,365
26233,26243,22009072,"Home in the Heart of Harlem, Express Subway Stop",6493857,Samantha,Manhattan,Harlem,40.81083,-73.95248000000002,Private room,69,2,0,,,1,0
16261,16261,13694429,Convenient Manhattan room above express trains,79738917,Kaushik,Manhattan,Harlem,40.80968,-73.95355,Private room,69,4,0,,,1,0
17678,17678,14988596,Convenient Modern 1 Bedroom Apt. Upper East Side,91545870,Michelle,Manhattan,Upper East Side,40.77357,-73.95149,Entire home/apt,69,1,131,2019-12-02,5.46,3,72
33373,33383,29014353,Ensuite bathroom paradise,393107,Catalina,Brooklyn,Carroll Gardens,40.68035,-73.99611,Private room,69,5,4,2019-04-24,0.29,1,0
27459,27469,22796888,room 2 Manhattan private room,164886138,Eliahu,Manhattan,Harlem,40.81236,-73.95204,Private room,69,1,4,2018-08-23,0.21,11,359
136,136,36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,2017-05-29,0.3,1,0
27885,27895,23273676,Little Italy Spacious Room,116976293,Topher,Manhattan,Little Italy,40.71913,-73.99835,Private room,69,2,64,2019-11-17,2.99,2,38
47622,47632,39414987,Private Room in the Heart of Astoria-Broadway Area,42524514,Chris,Queens,Long Island City,40.76281,-73.92835,Private room,69,1,2,2019-11-27,1.82,1,37
34404,34414,29904025,#Private Room with Bus to Times Square,224850313,Roman,Brooklyn,Sheepshead Bay,40.58526,-73.94117,Private room,69,1,9,2019-11-07,0.69,2,63
408,408,149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,716306,"Dee, Dre & Mama Shelley",Bronx,Woodlawn,40.89747,-73.8639,Entire home/apt,69,1,219,2019-11-21,2.6,1,344
27458,27468,22796694,room 3 Manhattan private room,164886138,Eliahu,Manhattan,Harlem,40.81376,-73.95354,Private room,69,2,5,2019-07-20,0.26,11,0
21427,21427,18669801,Huge Private Room in New York 10minute to Midtown,119952908,Meja Hilde,Queens,Long Island City,40.75172,-73.9379,Private room,69,1,3,2017-05-30,0.1,1,0
8833,8833,7242823,Gorgeous Studio by Mt. Sinai & CP - 30 Days Min,2722117,David,Manhattan,East Harlem,40.78999,-73.9458,Entire home/apt,69,30,7,2019-11-16,0.14,1,167
34319,34329,29851985,Comfy King Bedroom Skyline View Close to Subway,20491372,Di,Queens,Forest Hills,40.72784,-73.85109,Private room,69,2,1,2018-11-18,0.08,1,2
25305,25315,21550808,Stylish and Spacious with Convenient location,45466335,Boris,Manhattan,Harlem,40.82148,-73.9366,Private room,69,1,67,2019-06-14,2.75,2,62
4458,4458,3394044,Panoramic view of Upper Manhattan!,10657357,Ivan,Manhattan,Washington Heights,40.83367,-73.94298,Private room,69,3,23,2019-10-20,0.35,4,257
16433,16433,13795744,"Bright Private Room on L/M in Bushwick, Queen-size",49294106,Alicia,Brooklyn,Bushwick,40.69956,-73.91888,Private room,69,2,65,2019-07-30,1.65,1,32
