,Unnamed: 0,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
39358,39358,69,30,184,3,0,1,0,0,0,0,0,1,0
44540,44540,69,1,364,11,0,0,0,1,0,0,0,1,0
25160,25160,69,2,88,40,0,1,0,0,0,0,0,1,0
12864,12864,69,2,0,56,0,1,0,0,0,0,0,1,0
14115,14115,69,1,0,4,0,0,1,0,0,0,0,1,0
22209,22209,69,3,41,92,0,0,1,0,0,0,0,1,0
10420,10420,69,2,68,80,0,0,0,1,0,0,0,1,0
2793,2793,69,1,295,155,0,1,0,0,0,0,0,1,0
22318,22318,69,2,0,1,0,1,0,0,0,0,0,1,0
5466,5466,69,1,80,130,0,1,0,0,0,0,0,1,0
28745,28745,69,1,79,117,0,0,0,1,0,0,0,1,0
47191,47191,69,5,0,1,0,0,1,0,0,0,0,1,0
12841,12841,69,3,95,37,0,1,0,0,0,1,0,0,0
25468,25468,69,3,41,16,0,1,0,0,0,0,0,1,0
11283,11283,69,2,289,86,0,1,0,0,0,0,0,1,0
12836,12836,69,1,276,103,0,0,0,1,0,1,0,0,0
31039,31039,69,3,0,97,0,1,0,0,0,0,0,1,0
27231,27231,69,2,242,24,0,1,0,0,0,0,0,1,0
27227,27227,69,5,173,15,0,0,0,1,0,0,0,1,0
43307,43307,69,2,68,22,0,1,0,0,0,0,0,1,0
5405,5405,69,1,0,345,0,0,1,0,0,0,0,1,0
8124,8124,69,1,0,0,0,1,0,0,0,0,0,1,0
45740,45740,69,2,59,12,0,1,0,0,0,0,0,1,0
33289,33289,69,2,68,70,0,0,0,1,0,1,0,0,0
22224,22224,69,3,62,76,0,0,1,0,0,0,0,1,0
1604,1604,69,4,48,12,0,0,1,0,0,0,0,1,0
20952,20952,69,15,0,0,0,1,0,0,0,0,0,1,0
42758,42758,69,3,331,0,0,0,0,1,0,0,0,1,0
29939,29939,69,1,361,73,0,0,1,0,0,0,0,0,1
30466,30466,69,2,0,0,0,0,1,0,0,0,0,1,0
46511,46511,69,5,364,0,0,1,0,0,0,0,0,1,0
24225,24225,69,2,145,203,0,0,0,1,0,1,0,0,0
33545,33545,69,1,334,50,0,0,1,0,0,0,0,0,1
7886,7886,69,1,0,14,0,0,0,1,0,0,0,1,0
15438,15438,69,4,0,0,0,0,0,1,0,1,0,0,0
25640,25640,69,5,0,0,0,0,1,0,0,0,0,1,0
34469,34469,69,5,305,8,0,0,0,1,0,0,0,1,0
13124,13124,69,90,0,43,0,1,0,0,0,1,0,0,0
29887,29887,69,2,68,53,0,1,0,0,0,0,0,1,0
26096,26096,69,1,359,34,1,0,0,0,0,0,0,1,0
39738,39738,69,4,0,4,0,1,0,0,0,0,0,1,0
16050,16050,69,1,0,1,0,0,1,0,0,0,0,1,0
3843,3843,69,5,0,6,0,1,0,0,0,0,0,1,0
5556,5556,69,1,0,33,0,1,0,0,0,0,0,1,0
49639,49639,69,2,247,1,0,0,1,0,0,0,0,1,0
19447,19447,69,2,175,51,0,0,1,0,0,0,0,1,0
20169,20169,69,4,0,0,0,0,0,1,0,1,0,0,0
7971,7971,69,30,354,55,0,1,0,0,0,0,0,1,0
14088,14088,69,7,0,7,0,0,1,0,0,0,0,1,0
27190,27190,69,4,341,2,0,1,0,0,0,0,0,1,0
30981,30981,69,2,64,89,0,1,0,0,0,0,0,1,0
1797,1797,69,6,151,52,0,1,0,0,0,0,0,1,0
20158,20158,69,5,204,35,0,0,1,0,0,0,0,1,0
41679,41679,69,1,74,12,0,1,0,0,0,0,0,1,0
44158,44158,69,1,365,3,0,0,0,0,1,0,0,1,0
1618,1618,69,7,147,49,0,0,1,0,0,0,0,1,0
295,295,69,2,0,244,0,1,0,0,0,0,0,1,0
10170,10170,69,5,0,9,0,1,0,0,0,1,0,0,0
19525,19525,69,2,0,10,0,1,0,0,0,0,0,1,0
32575,32575,69,2,360,27,0,1,0,0,0,0,0,1,0
50,50,69,2,1,311,0,0,1,0,0,0,0,1,0
21562,21562,69,3,0,0,0,0,1,0,0,0,0,1,0
38067,38067,69,3,0,5,0,0,1,0,0,0,0,1,0
43508,43508,69,1,365,10,0,0,0,0,1,0,0,1,0
